,Bor,Nei,lat,log
117,Downtown Toronto,Harbord,43.70011,-79.4163
118,Downtown Toronto,University of Toronto,43.70011,-79.4163
119,Downtown Toronto,Chinatown,43.70011,-79.4163
120,Downtown Toronto,Grange Park,43.70011,-79.4163
121,Downtown Toronto,Kensington Market,43.70011,-79.4163
122,Downtown Toronto,CN Tower,43.70011,-79.4163
123,Downtown Toronto,Bathurst Quay,43.70011,-79.4163
124,Downtown Toronto,Island airport,43.70011,-79.4163
125,Downtown Toronto,Harbourfront West,43.70011,-79.4163
126,Downtown Toronto,King and Spadina,43.6514418,-79.3828632
127,Downtown Toronto,Railway Lands,43.70011,-79.4163
128,Downtown Toronto,South Niagara,43.70011,-79.4163
129,Downtown Toronto,Stn A PO Boxes 25 The Esplanade,43.70011,-79.4163
130,Downtown Toronto,First Canadian Place,43.70011,-79.4163
131,Downtown Toronto,Underground city,43.6559412,-79.3798994
132,North York,Lawrence Heights,43.7227784,-79.4509332
133,North York,Lawrence Manor,43.7220788,-79.4375067
134,North York,Glencairn,43.7087117,-79.4406853
135,York,Humewood-Cedarvale,43.70011,-79.4163
136,York,Caledonia-Fairbanks,43.70011,-79.4163
137,Downtown Toronto,Christie,43.6499915,-79.3857217
138,West Toronto,Dovercourt Village,43.6653069,-79.4326362
139,West Toronto,Dufferin,43.6602019,-79.4357191
140,West Toronto,Little Portugal,43.6496309,-79.4314332
141,West Toronto,Trinity,43.654676,-79.3817314
142,West Toronto,Brockton,43.6509891,-79.440029
143,West Toronto,Exhibition Place,43.6338134,-79.4171407
144,West Toronto,Parkdale Village,43.6371777,-79.4360045
145,North York,Maple Leaf Park,43.7158453,-79.4934073
146,North York,North Park,43.7186899,-79.4775337
147,North York,Upwood Park,43.7089606,-79.5008946
148,York,Del Ray,43.70011,-79.4163
149,York,Keelesdale,43.690157,-79.4750564
150,York,Mount Dennis,43.6869597,-79.4895513
151,York,Silverthorn,43.682123,-79.4715724
152,York,The Junction North,43.6654775,-79.470352
153,York,Runnymede,43.6655802,-79.4821078
154,West Toronto,High Park,43.6462814,-79.4638214
155,West Toronto,The Junction South,43.6654775,-79.470352
156,West Toronto,Parkdale,43.6371777,-79.4360045
157,West Toronto,Roncesvalles,43.6396613,-79.4478001
158,West Toronto,Runnymede,43.6517776,-79.4759227
159,West Toronto,Swansea,43.64494,-79.478313
160,Queen's Park,Not assigned,43.70011,-79.4163
161,Mississauga,Canada Post Gateway Processing Centre,43.70011,-79.4163
162,East Toronto,Business Reply Mail Processing Centre 969 Eastern,43.70011,-79.4163
163,Etobicoke,Humber Bay Shores,43.70011,-79.4163
164,Etobicoke,Mimico South,43.603656,-79.4931782
165,Etobicoke,New Toronto,43.6007625,-79.505264
166,Etobicoke,Alderwood,43.6017173,-79.5452325
167,Etobicoke,Long Branch,43.5930751,-79.541212
168,Etobicoke,The Kingsway,43.6473811,-79.5113328
169,Etobicoke,Montgomery Road,43.6502695,-79.521292
170,Etobicoke,Old Mill North,43.6513012,-79.4954753
171,Etobicoke,Humber Bay,43.6400463,-79.495028
172,Etobicoke,King's Mill Park,43.6510895,-79.4920291
173,Etobicoke,Kingsway Park South East,43.6473811,-79.5113328
174,Etobicoke,Mimico NE,43.603656,-79.4931782
175,Etobicoke,Old Mill South,43.6513012,-79.4954753
176,Etobicoke,The Queensway East,43.6093093,-79.5677317
177,Etobicoke,Royal York South East,43.6481827,-79.5112961
178,Etobicoke,Sunnylea,43.6415971,-79.501665
179,Etobicoke,Kingsway Park South West,43.6473811,-79.5113328
180,Etobicoke,Mimico NW,43.603656,-79.4931782
181,Etobicoke,The Queensway West,43.6236182,-79.5147637
182,Etobicoke,Royal York South West,43.6481827,-79.5112961
183,Etobicoke,South of Bloor,43.6311543,-79.5759604
184,Etobicoke,Islington Avenue,43.6831252,-79.5404815
185,Etobicoke,Cloverdale,43.633637,-79.5497447
186,Etobicoke,Islington,43.6487953,-79.5490002
187,Etobicoke,Martin Grove,43.6714591,-79.5524921
188,Etobicoke,Princess Gardens,43.6757493,-79.5528551
189,Etobicoke,West Deane Park,43.6631995,-79.5685684
